MAGAR,NEPALI
बडा भजी इमाङ लेको ।,ठुली भाउज्यु घरमा हुनुहुन्छ ।
इसे कुरा नो भयाके डेउ ।,यो कुरा तिम्रो भाइलाई भन ।
नो भयाबुहारी कलाक ले ?,तिम्रो भाइबुहारी कहाँ छे ?
भेनाज्यु काठमाडौंमा नुङ्म लेको ।,भेनाज्यु काठमाडौंमा जानु भएको छ ।
ङौ न्हीस नानीको ले ।,मेरा दुइ बहिनीहरू छन् ।
"नुङ्नी न , मीजाबुहारी इमाङ न लेको ।","जानोस् न , छोराबुहारी घरमै हुनुहुन्छ ।"
माझा मीजाजुवाई इमाङ न ले ।,छोरीजुवाई घरमै छ ।
ङौ सोम नाती ले ।,मेरा तिन नाती छन् ।
नातिनीबुहारी इमाङ माले ।,नातिनीबुहारी घरमा छैन ।
होसको पाल्पाओ लेन्जाको आलेसा ।,उनीहरू पाल्पाका युवकहरू रहेछन् ।
होसको पोखरौ नानीजाको आलेसा ।,यिनीहरू पोखराकी युवतीहरू हुन् ।
मेल्ल्हौ मीमीके ङोसो ।,आफ्नै आँखाले हेर ।
ङौ मीमीकाङ ङोसो ।,मेरो आँखामा हेर ।
मीमीको बीचाङ ही लेसा ङोसो ।,आँखाको बिचमा के रहेछ हेर ।
होच्यो मीमीकीङ मीमीडी झाला ।,उसको आँखाबाट आँसु झर्यो ।
होच्यो मीमीकभरी मीमीडी छान्हा ।,उसको आँखाभरि आँसु भयो ।
ङौ मीमीकाङ मीमीडी ले ।,मेरो आँखामा आँसु छ ।
मीमीक लाक ङोसो ।,आँखातिर हेर ।
नाङके इनाङ कुङच ले ?,तिमीलाई अहिले कस्तो छ ?
बोइ बुढा छान्हा ।,बुबा बुढा हुनु भयो ।
